;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
;;;;;;;;;;;;
Austria;25.5;25.1;24.3;24.0;23.5;22.9;22.3;22.2;21.8;20.8;20.7;20.4
Belgium;10.1;10.2;10.1;10.2;9.4;8.3;7.5;6.6;6.4;6.0;5.8;5.8
Cyprus;22.0;19.5;17.8;16.8;16.1;15.6;14.9;14.2;13.2;12.3;11.2;10.4
Finland;20.2;20.5;20.8;20.3;19.1;19.2;18.8;18.4;17.5;17.6;17.2;17.1
France;17.3;16.9;15.2;15.6;15.7;15.6;15.5;15.5;15.3;15.5;15.6;15.8
Germany;22.8;22.8;22.6;22.3;22.4;22.7;22.1;22.3;21.8;21.1;20.4;20.1
Greece;21.5;22.0;NA;NA;NA;NA;NA;12.5;NA;NA;NA;NA
Ireland;17.3;12.6;12.6;13.9;12.7;12.2;12.9;13.9;13.9;14.2;14.4;NA
Italy;5.1;4.9;5.5;5.3;5.7;6.5;7.0;6.1;5.5;5.3;5.0;3.9
Luxembourg;10.2;9.7;9.2;8.7;7.9;7.0;6.2;5.4;4.7;3.9;2.6;1.4
Malta;7.8;9.2;7.7;7.2;7.7;9.5;9.7;10.6;10.7;11.6;13.2;13.0
Netherlands;19.3;18.9;18.5;17.8;18.6;17.6;16.6;16.2;16.1;15.6;15.1;14.7
Portugal;8.5;9.2;10.0;12.8;12.9;15.0;13.3;14.9;16.0;13.9;10.8;8.9
Slovakia;23.6;20.9;21.9;19.6;20.1;20.8;18.8;19.7;19.7;19.2;20.1;19.8
Slovenia;5.0;4.1;-0.9;0.9;3.3;4.5;6.3;7.0;8.2;8.1;8.4;9.3
Spain;18.1;16.1;16.7;16.2;17.6;18.7;17.8;14.9;14.1;14.8;13.5;11.9
