;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);58,7;;60;;61,1;;61,9;;61,4;;61,2;;61,4;;61,5;;61,6;;62,4;;63,3;;64,3;;65,5;;66,5;;67,3;
European Union - 28 countries (2013-2020);59,9;;61;;62;;62,7;;62,2;;62,1;;62,2;;62,4;;62,6;;63,5;;64,3;;65,3;;66,5;;67,4;;68,2;
Euro area - 19 countries  (from 2015);59,1;;60,4;;61,5;;62,3;;61,8;;61,8;;62;;62;;62;;62,7;;63,4;;64,4;;65,4;;66,3;;67,2;
Belgium;58,6;;58,8;;60,3;;61,3;;61;;61,6;;61,5;;61,7;;62,1;;62,9;;63;;63;;63,6;;65,5;;66,5;
Germany (until 1990 former territory of the FRG);63,1;;65;;66,7;;67,8;;68,7;;69,7;;71,3;;71,6;;72,5;;73,1;;73,6;;74,5;;75,2;;75,8;;76,6;
Estonia;69,7;;72,5;;72,6;;72,9;;69;;65,9;;67,8;;69,4;;70,1;;70,6;;72,6;;72,6;;75,1;;75,6;;76,3;
Ireland;63,7;;64,6;;65,8;;65,4;;62,9;;61,1;;60,2;;60,2;;61,3;;62,3;;63,8;;65,4;;67;;68,1;;69;
Greece;49,7;;51,3;;51,7;;52,6;;52,9;;51,8;;48,7;;45,2;;43,3;;44,3;;46;;46,8;;48;;49,1;;51,3;
Spain;55,1;;57,1;;58,6;;58,9;;56,8;;56,3;;56,1;;54,6;;53,8;;54,8;;56,4;;58,1;;59,6;;61;;62,1;
France;63,2;;63,4;;64,3;;65;;64,4;;64,3;;64,1;;64,6;;64,9;;65,6;;66;;66,4;;66,8;;67,6;;68,1;
Italy;48,5;;49,6;;49,9;;50,6;;49,7;;49,5;;49,9;;50,5;;49,9;;50,3;;50,6;;51,6;;52,5;;53,1;;53,8;
Cyprus;63,8;;65,9;;67,7;;68,2;;68,3;;68,8;;67,7;;64,8;;62,2;;63,9;;64;;64,1;;66,2;;68,9;;70,1;
Latvia;64,5;;68,4;;70,3;;71,9;;66,5;;64,5;;65,3;;66,4;;67,7;;68,5;;70,5;;71,8;;72,7;;74,8;;75,5;
Lithuania;66,6;;68;;69,1;;68,7;;67,2;;65;;66,6;;67,9;;68,6;;70,6;;72,2;;74,3;;75,5;;76,7;;77,4;
Luxembourg;58,4;;59,4;;61;;60,1;;61,5;;62;;61,9;;64,1;;63,9;;65,5;;65;;65,1;;67,5;;68;;68,1;
Malta;34,8;;35,7;;37,7;;39,4;;40;;41,6;;43,8;;48;;51,7;;54,3;;55,3;;58;;60,6;;64,1;;65,8;
Netherlands;64,4;;65,7;;67,7;;69,4;;69,9;;69,8;;70,4;;71;;70,6;;69,7;;70,8;;71,6;;72,8;;74,2;;75,5;
Austria;64;;65,2;;66,2;;67,6;;68,2;;68,8;;69,2;;69,6;;70;;70,1;;70,2;;70,9;;71,4;;71,7;;72,4;
Portugal;66;;66,3;;66,3;;67,1;;66,1;;65,6;;64,6;;63;;62,3;;64,2;;65,9;;67,4;;69,8;;72,1;;72,7;
Slovenia;66,2;;66,5;;67,1;;68,5;;67,9;;66,5;;64,8;;64,6;;63;;63,6;;64,7;;66,7;;69,7;;71,7;;72,9;
Slovakia;56,7;;57,5;;58,7;;60,3;;58,2;;57,4;;57,4;;57,3;;57,8;;58,6;;60,3;;62,7;;64,7;;65,5;;66,9;
Finland;70,8;;71,5;;72,5;;73,1;;72,4;;71,5;;71,9;;72,5;;71,9;;72,1;;71,8;;71,7;;72,4;;74,5;;75,8;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
