;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;2006-S1;;;;2007-S1;;;;2008-S1;;;;2009-S1;;;;2010-S1;;;;2011-S1;;;;2012-S1;;;;2013-S1;;;;2014-S1;;;;2015-S1;;;;2016-S1;;;;2017-S1;;;;2018-S1;;;;2019-S1;;;;2020-S1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belgium;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
Germany (until 1990 former territory of the FRG);;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
Estonia;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
Ireland;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
Greece;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
Spain;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
France;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
Italy;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;
Cyprus;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;
Latvia;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
Lithuania;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
Luxembourg;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
Malta;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
Netherlands;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
Austria;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;
Slovenia;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
Slovakia;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
Finland;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;
Portugal;;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
