;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;2006-S1;;;;2007-S1;;;;2008-S1;;;;2009-S1;;;;2010-S1;;;;2011-S1;;;;2012-S1;;;;2013-S1;;;;2014-S1;;;;2015-S1;;;;2016-S1;;;;2017-S1;;;;2018-S1;;;;2019-S1;;;;2020-S1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belgium;;;;;1.234;;;;1.259;;;;1.309,6;;;;1.387,5;;;;1.387,5;;;;1.415,24;;;;1.443,54;;;;1.501,82;;;;1.501,82;;;;1.501,82;;;;1.501,82;;;;1.531,93;;;;1.562,59;;;;1.593,81;;;;1.593,81;;;
Germany (until 1990 former territory of the FRG);;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;1.440;;;;1.440;;;;1.498;;;;1.498;;;;1.557;;;;1.584;;;
Estonia;;;;;191,73;;;;230,08;;;;278,02;;;;278,02;;;;278,02;;;;278,02;;;;290;;;;320;;;;355;;;;390;;;;430;;;;470;;;;500;;;;540;;;;584;;;
Ireland;;;;;1.292,85;;;;1.402,7;;;;1.461,85;;;;1.461,85;;;;1.461,85;;;;1.461,85;;;;1.461,85;;;;1.461,85;;;;1.461,85;;;;1.461,85;;;;1.546,35;;;;1.563,25;;;;1.613,95;;;;1.656,2;;;;1.656,2;;;
Greece;;;;;709,71;;;;730,3;;;;794,02;;;;817,83;;;;862,82;;;;862,82;;;;876,62;;;;683,76;;;;683,76;;;;683,76;;;;683,76;;;;683,76;;;;683,76;;;;683,76;;;;758,33;;;
Spain;;;;;631,05;;;;665,7;;;;700;;;;728;;;;738,85;;;;748,3;;;;748,3;;;;752,85;;;;752,85;;;;756,7;;;;764,4;;;;825,65;;;;858,55;;;;1.050;;;;1.108,33;;;
France;;;;;1.217,88;;;;1.254,28;;;;1.280,07;;;;1.321,02;;;;1.343,77;;;;1.365;;;;1.398,37;;;;1.430,22;;;;1.445,38;;;;1.457,52;;;;1.466,62;;;;1.480,27;;;;1.498,47;;;;1.521,22;;;;1.539,42;;;
Italy;;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;
Cyprus;;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;
Latvia;;;;;129,27;;;;172,12;;;;229,75;;;;254,13;;;;253,77;;;;281,93;;;;285,92;;;;286,66;;;;320;;;;360;;;;370;;;;380;;;;430;;;;430;;;;430;;;
Lithuania;;;;;159,29;;;;173,77;;;;231,7;;;;231,7;;;;231,7;;;;231,7;;;;231,7;;;;289,62;;;;289,62;;;;300;;;;350;;;;380;;;;400;;;;555;;;;607;;;
Luxembourg;;;;;1.503,42;;;;1.570,28;;;;1.570,28;;;;1.641,74;;;;1.682,76;;;;1.757,56;;;;1.801,49;;;;1.874,19;;;;1.921,03;;;;1.922,96;;;;1.922,96;;;;1.998,59;;;;1.998,59;;;;2.089,75;;;;2.141,99;;;
Malta;;;;;584,24;;;;601,9;;;;617,21;;;;634,88;;;;659,92;;;;664,95;;;;685,14;;;;702,82;;;;717,95;;;;720,46;;;;728,04;;;;735,63;;;;747,54;;;;761,97;;;;777,1;;;
Netherlands;;;;;1.272,6;;;;1.300,8;;;;1.335;;;;1.381,2;;;;1.407,6;;;;1.424,4;;;;1.446,6;;;;1.469,4;;;;1.485,6;;;;1.501,8;;;;1.524,6;;;;1.551,6;;;;1.578;;;;1.615,8;;;;1.653,6;;;
Austria;;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;
Slovenia;;;;;511,9;;;;521,8;;;;538,53;;;;589,19;;;;597,43;;;;748,1;;;;763,06;;;;783,66;;;;789,15;;;;790,73;;;;790,73;;;;804,96;;;;842,79;;;;886,63;;;;940,58;;;
Slovakia;;;;;182,15;;;;220,71;;;;241,19;;;;295,5;;;;307,7;;;;317;;;;327;;;;337,7;;;;352;;;;380;;;;405;;;;435;;;;480;;;;520;;;;580;;;
Finland;;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;;:;;;
Portugal;;;;;449,98;;;;470,17;;;;497;;;;525;;;;554,17;;;;565,83;;;;565,83;;;;565,83;;;;565,83;;;;589,17;;;;618,33;;;;649,83;;;;676,67;;;;700;;;;740,83;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
