;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);22.460;;22.900;;23.100;;23.210;;23.710;;24.060;;24.820;;25.510;;25.580;;24.400;;24.900;;25.320;;25.090;;25.040;;25.400;;25.920;;26.380;;27.080;;27.610;;27.980;
European Union - 28 countries (2013-2020);23.000;;23.470;;23.710;;23.930;;24.430;;24.830;;25.560;;26.220;;26.240;;25.030;;25.510;;25.900;;25.730;;25.760;;26.150;;26.680;;27.120;;27.770;;28.260;;28.610;
Euro area - 19 countries  (from 2015);26.500;;26.980;;27.090;;27.120;;27.590;;27.900;;28.670;;29.370;;29.340;;27.930;;28.460;;28.870;;28.540;;28.410;;28.750;;29.250;;29.700;;30.400;;30.900;;31.210;
Belgium;29.890;;30.110;;30.490;;30.680;;31.640;;32.200;;32.800;;33.760;;33.640;;32.700;;33.330;;33.460;;33.490;;33.490;;33.870;;34.360;;34.620;;35.040;;35.510;;35.950;
Germany (until 1990 former territory of the FRG);28.910;;29.370;;29.290;;29.100;;29.470;;29.730;;30.930;;31.920;;32.320;;30.580;;31.940;;33.200;;33.280;;33.330;;33.920;;34.130;;34.610;;35.380;;35.720;;35.840;
Estonia;7.570;;8.070;;8.680;;9.390;;10.090;;11.110;;12.260;;13.270;;12.640;;10.830;;11.150;;12.010;;12.430;;12.640;;13.060;;13.330;;13.730;;14.480;;15.070;;15.760;
Ireland;33.290;;34.520;;35.920;;36.400;;38.190;;39.480;;40.390;;41.280;;38.600;;36.300;;36.770;;36.840;;36.740;;37.010;;39.920;;49.510;;49.930;;53.890;;57.780;;60.170;
Greece;17.430;;18.050;;18.690;;19.730;;20.670;;20.740;;21.840;;22.500;;22.370;;21.350;;20.150;;18.130;;16.940;;16.600;;16.820;;16.870;;16.850;;17.100;;17.400;;17.740;
Spain;21.460;;22.190;;22.430;;22.680;;23.020;;23.420;;24.000;;24.380;;24.200;;23.100;;23.040;;22.770;;22.080;;21.840;;22.210;;23.080;;23.760;;24.430;;24.910;;25.200;
