;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);9,6;;8,6;;7,5;;7,2;;9,1;;9,8;;9,9;;10,8;;11,4;;10,8;;10;;9,1;;8,1;;7,2;;6,7;
European Union - 28 countries (2013-2020);9;;8,2;;7,2;;7;;8,9;;9,6;;9,6;;10,5;;10,8;;10,2;;9,4;;8,5;;7,6;;6,8;;6,3;
Euro area - 19 countries  (from 2015);9;;8,3;;7,5;;7,5;;9,6;;10,1;;10,2;;11,3;;12;;11,6;;10,8;;10;;9;;8,1;;7,5;
Belgium;8,5;;8,3;;7,5;;7;;7,9;;8,3;;7,2;;7,6;;8,4;;8,5;;8,5;;7,8;;7,1;;6;;5,4;
Germany (until 1990 former territory of the FRG);11,2;;10,3;;8,7;;7,5;;7,8;;7;;5,8;;5,4;;5,2;;5;;4,6;;4,1;;3,8;;3,4;;3,1;
Estonia;8;;5,9;;4,6;;5,5;;13,5;;16,7;;12,3;;10;;8,6;;7,4;;6,2;;6,8;;5,8;;5,4;;4,4;
Ireland;4,6;;4,8;;5;;6,8;;12,6;;14,6;;15,4;;15,5;;13,8;;11,9;;10;;8,4;;6,7;;5,8;;5;
Greece;10;;9;;8,4;;7,8;;9,6;;12,7;;17,9;;24,5;;27,5;;26,5;;24,9;;23,6;;21,5;;19,3;;17,3;
Spain;9,2;;8,5;;8,2;;11,3;;17,9;;19,9;;21,4;;24,8;;26,1;;24,5;;22,1;;19,6;;17,2;;15,3;;14,1;
France;8,9;;8,8;;8;;7,4;;9,1;;9,3;;9,2;;9,8;;10,3;;10,3;;10,4;;10;;9,4;;9;;8,5;
Italy;7,7;;6,8;;6,1;;6,7;;7,8;;8,4;;8,4;;10,7;;12,2;;12,7;;11,9;;11,7;;11,2;;10,6;;10;
Cyprus;5,3;;4,6;;3,9;;3,7;;5,4;;6,3;;7,9;;11,9;;15,9;;16,1;;15;;13;;11,1;;8,4;;7,1;
Latvia;10;;7;;6,1;;7,7;;17,5;;19,5;;16,2;;15;;11,9;;10,8;;9,9;;9,6;;8,7;;7,4;;6,3;
Lithuania;8,3;;5,8;;4,3;;5,8;;13,8;;17,8;;15,4;;13,4;;11,8;;10,7;;9,1;;7,9;;7,1;;6,2;;6,3;
Luxembourg;4,5;;4,7;;4,1;;5,1;;5,1;;4,4;;4,9;;5,1;;5,9;;5,9;;6,7;;6,3;;5,5;;5,6;;5,6;
Malta;6,9;;6,8;;6,5;;6;;6,9;;6,9;;6,4;;6,2;;6,1;;5,7;;5,4;;4,7;;4;;3,7;;3,6;
Netherlands;5,9;;5;;4,2;;3,7;;4,4;;5;;5;;5,8;;7,3;;7,4;;6,9;;6;;4,9;;3,8;;3,4;
Austria;5,6;;5,3;;4,9;;4,1;;5,3;;4,8;;4,6;;4,9;;5,4;;5,6;;5,7;;6;;5,5;;4,9;;4,5;
Portugal;7,7;;7,8;;8,1;;7,7;;9,6;;11;;12,9;;15,8;;16,4;;14,1;;12,6;;11,2;;9;;7,1;;6,5;
Slovenia;6,5;;6;;4,9;;4,4;;5,9;;7,3;;8,2;;8,9;;10,1;;9,7;;9;;8;;6,6;;5,1;;4,5;
Slovakia;16,3;;13,4;;11,1;;9,5;;12;;14,4;;13,6;;14;;14,2;;13,2;;11,5;;9,7;;8,1;;6,5;;5,8;
Finland;8,4;;7,7;;6,9;;6,4;;8,2;;8,4;;7,8;;7,7;;8,2;;8,7;;9,4;;8,8;;8,6;;7,4;;6,7;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
