Year,Country ,Public_Debt_Transactions,Total_Spending
2007,Austria,"9,252.2","139,842.5"
2008,Austria,"8,956.3","146,510.8"
2009,Austria,"9,744.8","155,960.8"
2010,Austria,"9,183.8","156,351.2"
2011,Austria,"9,299.2","157,845.9"
2012,Austria,"9,337.5","163,191.9"
2013,Austria,"9,067.4","167,292.1"
2014,Austria,"8,793.4","174,671.6"
2015,Austria,"8,721.6","176,030.0"
2016,Austria,"8,099.0","179,059.0"
2017,Austria,"7,391.1","182,091.3"
2018,Austria,"6,809.3","187,705.7"
2007,Belgium,"14,226.2","166,872.0"
2008,Belgium,"14,390.6","178,599.3"
2009,Belgium,"13,924.8","189,453.8"
2010,Belgium,"13,506.6","195,653.4"
2011,Belgium,"13,997.3","207,927.1"
2012,Belgium,"14,360.7","218,102.2"
2013,Belgium,"13,735.4","220,470.1"
2014,Belgium,"13,793.4","224,069.4"
2015,Belgium,"12,913.9","223,850.1"
2016,Belgium,"12,459.3","228,541.8"
2017,Belgium,"11,367.9","231,707.1"
2018,Belgium,"10,651.8","239,635.7"
2007,Cyprus,488.8,"6,614.5"
2008,Cyprus,490.7,"7,300.1"
2009,Cyprus,437.8,"7,862.4"
2010,Cyprus,397.1,"8,114.5"
2011,Cyprus,430.9,"8,355.3"
2012,Cyprus,613.9,"8,167.3"
2013,Cyprus,630.0,"7,769.4"
2014,Cyprus,541.5,"8,591.7"
2015,Cyprus,551.5,"7,242.6"
2016,Cyprus,490.8,"7,098.4"
2017,Cyprus,506.0,"7,395.5"
2018,Cyprus,511.8,"9,213.3"
2007,Estonia,29.8,"5,532.6"
2008,Estonia,31.2,"6,555.9"
2009,Estonia,20.3,"6,479.8"
2010,Estonia,20.1,"5,936.9"
2011,Estonia,25.4,"6,241.4"
2012,Estonia,33.3,"7,031.5"
2013,Estonia,30.4,"7,266.3"
2014,Estonia,35.6,"7,571.1"
2015,Estonia,32.1,"8,154.5"
2016,Estonia,31.7,"8,564.6"
2017,Estonia,27.9,"9,352.3"
2018,Estonia,24.3,"10,180.9"
2007,Finland,"2,873.0","87,119.0"
2008,Finland,"2,991.0","93,006.0"
2009,Finland,"2,700.0","98,310.0"
2010,Finland,"2,707.0","101,422.0"
2011,Finland,"2,920.0","106,241.0"
2012,Finland,"3,098.0","111,456.0"
2013,Finland,"2,801.0","116,102.0"
2014,Finland,"2,803.0","118,504.0"
2015,Finland,"2,680.0","119,415.0"
2016,Finland,"2,527.0","120,975.0"
2017,Finland,"2,417.0","121,319.0"
2018,Finland,"2,237.0","124,400.0"
2007,France,"53,419.0","1,020,484.0"
2008,France,"58,718.0","1,061,865.0"
2009,France,"50,766.0","1,106,702.0"
2010,France,"53,026.0","1,134,957.0"
2011,France,"58,079.0","1,158,671.0"
2012,France,"57,168.0","1,192,859.0"
2013,France,"51,901.0","1,211,622.0"
2014,France,"50,099.0","1,229,959.0"
2015,France,"47,282.0","1,248,656.0"
2016,France,"44,917.0","1,264,297.0"
2017,France,"43,501.0","1,293,953.0"
2018,France,"43,675.0","1,318,613.0"
2007,Germany,"68,331.0","1,084,748.0"
