"TIME","GEO","UNIT","SECTOR","COFOG99","NA_ITEM","Value","Flag and Footnotes"
"2007","Belgium","Million euro","General government","Total","Total general government expenditure","166,872.0",""
"2007","Belgium","Million euro","General government","Public debt transactions","Total general government expenditure","14,226.2",""
"2007","Germany (until 1990 former territory of the FRG)","Million euro","General government","Total","Total general government expenditure","1,084,748.0",""
"2007","Germany (until 1990 former territory of the FRG)","Million euro","General government","Public debt transactions","Total general government expenditure","68,331.0",""
"2007","Estonia","Million euro","General government","Total","Total general government expenditure","5,532.6",""
"2007","Estonia","Million euro","General government","Public debt transactions","Total general government expenditure","29.8",""
"2007","Ireland","Million euro","General government","Total","Total general government expenditure","70,875.5",""
"2007","Ireland","Million euro","General government","Public debt transactions","Total general government expenditure","2,038.3",""
"2007","Greece","Million euro","General government","Total","Total general government expenditure","109,528.0",""
"2007","Greece","Million euro","General government","Public debt transactions","Total general government expenditure","10,997.0",""
"2007","Spain","Million euro","General government","Total","Total general government expenditure","422,204.0",""
"2007","Spain","Million euro","General government","Public debt transactions","Total general government expenditure","17,170.0",""
"2007","France","Million euro","General government","Total","Total general government expenditure","1,020,484.0",""
"2007","France","Million euro","General government","Public debt transactions","Total general government expenditure","53,419.0",""
"2007","Italy","Million euro","General government","Total","Total general government expenditure","755,481.0",""
"2007","Italy","Million euro","General government","Public debt transactions","Total general government expenditure","78,491.0",""
"2007","Cyprus","Million euro","General government","Total","Total general government expenditure","6,614.5",""
"2007","Cyprus","Million euro","General government","Public debt transactions","Total general government expenditure","488.8",""
"2007","Latvia","Million euro","General government","Total","Total general government expenditure","7,729.1",""
"2007","Latvia","Million euro","General government","Public debt transactions","Total general government expenditure","84.2",""
"2007","Lithuania","Million euro","General government","Total","Total general government expenditure","10,238.5",""
"2007","Lithuania","Million euro","General government","Public debt transactions","Total general government expenditure","221.8",""
"2007","Luxembourg","Million euro","General government","Total","Total general government expenditure","14,055.7",""
"2007","Luxembourg","Million euro","General government","Public debt transactions","Total general government expenditure","138.9",""
"2007","Malta","Million euro","General government","Total","Total general government expenditure","2,368.8",""
"2007","Malta","Million euro","General government","Public debt transactions","Total general government expenditure","204.4",""
"2007","Netherlands","Million euro","General government","Total","Total general government expenditure","262,142.0",""
"2007","Netherlands","Million euro","General government","Public debt transactions","Total general government expenditure","12,676.0",""
"2007","Austria","Million euro","General government","Total","Total general government expenditure","139,842.5",""
"2007","Austria","Million euro","General government","Public debt transactions","Total general government expenditure","9,252.2",""
"2007","Portugal","Million euro","General government","Total","Total general government expenditure","78,112.9",""
"2007","Portugal","Million euro","General government","Public debt transactions","Total general government expenditure","5,455.9",""
"2007","Slovenia","Million euro","General government","Total","Total general government expenditure","15,225.3",""
"2007","Slovenia","Million euro","General government","Public debt transactions","Total general government expenditure","445.5",""
"2007","Slovakia","Million euro","General government","Total","Total general government expenditure","20,496.6",""
"2007","Slovakia","Million euro","General government","Public debt transactions","Total general government expenditure","852.6","p"
"2007","Finland","Million euro","General government","Total","Total general government expenditure","87,119.0",""
"2007","Finland","Million euro","General government","Public debt transactions","Total general government expenditure","2,873.0",""
"2008","Belgium","Million euro","General government","Total","Total general government expenditure","178,599.3",""
"2008","Belgium","Million euro","General government","Public debt transactions","Total general government expenditure","14,390.6",""
"2008","Germany (until 1990 former territory of the FRG)","Million euro","General government","Total","Total general government expenditure","1,125,536.0",""
"2008","Germany (until 1990 former territory of the FRG)","Million euro","General government","Public debt transactions","Total general government expenditure","69,178.0",""
"2008","Estonia","Million euro","General government","Total","Total general government expenditure","6,555.9",""
"2008","Estonia","Million euro","General government","Public debt transactions","Total general government expenditure","31.2",""
"2008","Ireland","Million euro","General government","Total","Total general government expenditure","78,569.3",""
